"","Rubrica","UF","Data","Valor"
"6310","Total-Despesas","MG","2013-02-28",5412073751
"6311","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2013-03-31",1685792031
"6312","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2013-03-31",374155220
"6313","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2013-03-31",1142123903
"6314","Total-Receitas","MG","2013-03-31",4532799541
"6315","Total-Despesas","MG","2013-03-31",5506550423
"6316","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2013-04-30",1446572424
"6317","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2013-04-30",351129693
"6318","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2013-04-30",901666994
"6319","Total-Receitas","MG","2013-04-30",4649157775
"6320","Total-Despesas","MG","2013-04-30",5110046536
"6321","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2013-05-31",1425793057
"6322","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2013-05-31",338072426
"6323","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2013-05-31",944865404
"6324","Total-Receitas","MG","2013-05-31",4866681181
"6325","Total-Despesas","MG","2013-05-31",4923561908
"6326","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2013-06-30",1431508369
"6327","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2013-06-30",323522879
"6328","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2013-06-30",919453622
"6329","Total-Receitas","MG","2013-06-30",4530237892
"6330","Total-Despesas","MG","2013-06-30",4537269664
"6331","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2013-07-31",1491877780
"6332","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2013-07-31",315053945
"6333","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2013-07-31",854979256
"6334","Total-Receitas","MG","2013-07-31",4302516585
"6335","Total-Despesas","MG","2013-07-31",4582135014
"6336","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2013-08-31",1409051974
"6337","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2013-08-31",356643303
"6338","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2013-08-31",1037806182
"6339","Total-Receitas","MG","2013-08-31",4798885396
"6340","Total-Despesas","MG","2013-08-31",4651366054
"6341","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2013-09-30",1440141294
"6342","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2013-09-30",368840024
"6343","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2013-09-30",724415398
"6344","Total-Receitas","MG","2013-09-30",4800602794
"6345","Total-Despesas","MG","2013-09-30",4619290115
"6346","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2013-10-31",1404084185
"6347","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2013-10-31",289727604
"6348","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2013-10-31",1131371892
"6349","Total-Receitas","MG","2013-10-31",4789711890
"6350","Total-Despesas","MG","2013-10-31",4487316454
"6351","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2013-11-30",1103839196
"6352","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2013-11-30",193460741
"6353","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2013-11-30",834026942
"6354","Total-Receitas","MG","2013-11-30",4950903834
"6355","Total-Despesas","MG","2013-11-30",3427263617
"6356","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2013-12-31",2033632191
"6357","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2013-12-31",533006659
"6358","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2013-12-31",1213096103
"6359","Total-Receitas","MG","2013-12-31",5956691471
"6360","Total-Despesas","MG","2013-12-31",6118219572
"6361","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2014-01-31",1813402415
"6362","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2014-01-31",354486120
"6363","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2014-01-31",1283955765
"6364","Total-Receitas","MG","2014-01-31",6367957368
"6365","Total-Despesas","MG","2014-01-31",5565224060
"6366","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2014-02-28",2003943848
"6367","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2014-02-28",573884138
"6368","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2014-02-28",1401547020
"6369","Total-Receitas","MG","2014-02-28",6499494260
"6370","Total-Despesas","MG","2014-02-28",7427549987
"6371","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2014-03-31",1640176085
"6372","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2014-03-31",386853733
"6373","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2014-03-31",1120738703
"6374","Total-Receitas","MG","2014-03-31",5267400829
"6375","Total-Despesas","MG","2014-03-31",5584129963
"6376","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2014-04-30",1416520310
"6377","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2014-04-30",356528142
"6378","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2014-04-30",1029646961
"6379","Total-Receitas","MG","2014-04-30",5137857662
"6380","Total-Despesas","MG","2014-04-30",4882119043
"6381","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2014-05-31",1485445941
"6382","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2014-05-31",376814014
"6383","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2014-05-31",1235486625
"6384","Total-Receitas","MG","2014-05-31",5236885624
"6385","Total-Despesas","MG","2014-05-31",5241887951
"6386","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2014-06-30",1609265768
"6387","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2014-06-30",375813103
"6388","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2014-06-30",941642809
"6389","Total-Receitas","MG","2014-06-30",4727525801
"6390","Total-Despesas","MG","2014-06-30",4979147585
"6391","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2014-07-31",1652737468
"6392","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2014-07-31",393145947
"6393","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2014-07-31",978169887
"6394","Total-Receitas","MG","2014-07-31",4687138788
"6395","Total-Despesas","MG","2014-07-31",5156179199
"6396","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2014-08-31",1508403493
"6397","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2014-08-31",375636618
"6398","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2014-08-31",1245692522
"6399","Total-Receitas","MG","2014-08-31",5315761776
"6400","Total-Despesas","MG","2014-08-31",4790407024
"6401","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2014-09-30",1588551813
"6402","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2014-09-30",391323402
"6403","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2014-09-30",1255247062
"6404","Total-Receitas","MG","2014-09-30",5241611249
"6405","Total-Despesas","MG","2014-09-30",5282404565
"6406","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2014-10-31",1438639205
"6407","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2014-10-31",344882830
"6408","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2014-10-31",874381572
"6409","Total-Receitas","MG","2014-10-31",5093177785
"6410","Total-Despesas","MG","2014-10-31",4567241086
"6411","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2014-11-30",1289231625
"6412","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2014-11-30",265188227
"6413","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2014-11-30",745886403
"6414","Total-Receitas","MG","2014-11-30",5417988108
"6415","Total-Despesas","MG","2014-11-30",3430759694
"6416","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2014-12-31",1983807535
"6417","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2014-12-31",530807735
"6418","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2014-12-31",1556696379
"6419","Total-Receitas","MG","2014-12-31",6610366486
"6420","Total-Despesas","MG","2014-12-31",6065030795
"6421","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2015-01-31",1886065509
"6422","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2015-01-31",351050243
"6423","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2015-01-31",1175820601
"6424","Total-Receitas","MG","2015-01-31",6292228501
"6425","Total-Despesas","MG","2015-01-31",5440965308
"6426","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2015-02-28",1923675267
"6427","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2015-02-28",410682262
"6428","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2015-02-28",1693323022
"6429","Total-Receitas","MG","2015-02-28",5997913777
"6430","Total-Despesas","MG","2015-02-28",6153466034
"6431","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2015-03-31",1646191414
"6432","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2015-03-31",333041366
"6433","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2015-03-31",1174696411
"6434","Total-Receitas","MG","2015-03-31",5039673273
"6435","Total-Despesas","MG","2015-03-31",5048299098
"6436","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2015-04-30",1457742079
"6437","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2015-04-30",287569635
"6438","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2015-04-30",1162898588
"6439","Total-Receitas","MG","2015-04-30",5330349179
"6440","Total-Despesas","MG","2015-04-30",4620629358
"6441","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2015-05-31",1542410182
"6442","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2015-05-31",316482125
"6443","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2015-05-31",1196467672
"6444","Total-Receitas","MG","2015-05-31",5005758975
"6445","Total-Despesas","MG","2015-05-31",5096053785
"6446","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2015-06-30",1602053662
"6447","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2015-06-30",312232651
"6448","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2015-06-30",1171651030
"6449","Total-Receitas","MG","2015-06-30",4980301867
"6450","Total-Despesas","MG","2015-06-30",5141808528
"6451","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2015-07-31",1809640675
"6452","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2015-07-31",346902526
"6453","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2015-07-31",1285229172
"6454","Total-Receitas","MG","2015-07-31",5007320490
"6455","Total-Despesas","MG","2015-07-31",5618246919
"6456","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2015-08-31",1634924314
"6457","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2015-08-31",341815493
"6458","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2015-08-31",1308897896
"6459","Total-Receitas","MG","2015-08-31",5072982920
"6460","Total-Despesas","MG","2015-08-31",5227310515
"6461","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2015-09-30",1601593814
"6462","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2015-09-30",351481826
"6463","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2015-09-30",1394404557
"6464","Total-Receitas","MG","2015-09-30",4887137719
"6465","Total-Despesas","MG","2015-09-30",5354596228
"6466","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2015-10-31",1680659706
"6467","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2015-10-31",304783086
"6468","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2015-10-31",1077484557
"6469","Total-Receitas","MG","2015-10-31",5180248060
"6470","Total-Despesas","MG","2015-10-31",5030206085
"6471","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2015-11-30",1855282401
"6472","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2015-11-30",224238921
"6473","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2015-11-30",1232429774
"6474","Total-Receitas","MG","2015-11-30",6557983456
"6475","Total-Despesas","MG","2015-11-30",4851242694
"6476","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2015-12-31",3111969854
"6477","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2015-12-31",768930359
"6478","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2015-12-31",2508444203
"6479","Total-Receitas","MG","2015-12-31",9502868285
"6480","Total-Despesas","MG","2015-12-31",8476614700
"6481","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2016-01-31",2096831273
"6482","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2016-01-31",362691333
"6483","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2016-01-31",1628004430
"6484","Total-Receitas","MG","2016-01-31",6778048779
"6485","Total-Despesas","MG","2016-01-31",6335506978
"6486","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2016-02-29",2008285888
"6487","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2016-02-29",429251711
"6488","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2016-02-29",1510182472
"6489","Total-Receitas","MG","2016-02-29",6092794050
"6490","Total-Despesas","MG","2016-02-29",6699566956
"6491","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2016-03-31",1692681714
"6492","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2016-03-31",341146117
"6493","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2016-03-31",1356126461
"6494","Total-Receitas","MG","2016-03-31",5711092226
"6495","Total-Despesas","MG","2016-03-31",5477542734
"6496","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2016-04-30",1747733974
"6497","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2016-04-30",322565335
"6498","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2016-04-30",1273924527
"6499","Total-Receitas","MG","2016-04-30",5760751465
"6500","Total-Despesas","MG","2016-04-30",5002669093
"6501","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2016-05-31",1850295368
"6502","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2016-05-31",379631000
"6503","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2016-05-31",1249572382
"6504","Total-Receitas","MG","2016-05-31",6028100891
"6505","Total-Despesas","MG","2016-05-31",5292261022
"6506","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2016-06-30",1744618494
"6507","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2016-06-30",313885632
"6508","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2016-06-30",1498585867
"6509","Total-Receitas","MG","2016-06-30",5647328551
"6510","Total-Despesas","MG","2016-06-30",5080506109
"6511","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2016-07-31",1259482861
"6512","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2016-07-31",233199146
"6513","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2016-07-31",977023826
"6514","Total-Receitas","MG","2016-07-31",5516800920
"6515","Total-Despesas","MG","2016-07-31",4154232484
"6516","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2016-08-31",1300409193
"6517","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2016-08-31",260645153
"6518","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2016-08-31",979904417
"6519","Total-Receitas","MG","2016-08-31",5370590444
"6520","Total-Despesas","MG","2016-08-31",4185362952
"6521","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2016-09-30",1595269002
"6522","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2016-09-30",306705652
"6523","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2016-09-30",1191068087
"6524","Total-Receitas","MG","2016-09-30",5580163662
"6525","Total-Despesas","MG","2016-09-30",4743227099
"6526","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2016-10-31",1944969077
"6527","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2016-10-31",376263143
"6528","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2016-10-31",1515292860
"6529","Total-Receitas","MG","2016-10-31",5729527924
"6530","Total-Despesas","MG","2016-10-31",5340565168
"6531","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2016-11-30",1814940730
"6532","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2016-11-30",357132247
"6533","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2016-11-30",1344244227
"6534","Total-Receitas","MG","2016-11-30",6151415233
"6535","Total-Despesas","MG","2016-11-30",4604235684
"6536","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2016-12-31",2915263413
"6537","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2016-12-31",555400117
"6538","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2016-12-31",2271794999
"6539","Total-Receitas","MG","2016-12-31",8012581813
"6540","Total-Despesas","MG","2016-12-31",8136486403
"6541","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2017-01-31",1904022228
"6542","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2017-01-31",338973847
"6543","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2017-01-31",1615974822
"6544","Total-Receitas","MG","2017-01-31",7418799171
"6545","Total-Despesas","MG","2017-01-31",6320157669
"6546","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2017-02-28",1784777690
"6547","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2017-02-28",372654913
"6548","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2017-02-28",1203955311
"6549","Total-Receitas","MG","2017-02-28",7008157982
"6550","Total-Despesas","MG","2017-02-28",6300584349
"6551","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2017-03-31",1910401542
"6552","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2017-03-31",337055740
"6553","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2017-03-31",1809569295
"6554","Total-Receitas","MG","2017-03-31",6059838284
"6555","Total-Despesas","MG","2017-03-31",5863644598
"6556","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2017-04-30",1770058138
"6557","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2017-04-30",372964055
"6558","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2017-04-30",1003985082
"6559","Total-Receitas","MG","2017-04-30",6238244340
"6560","Total-Despesas","MG","2017-04-30",4826193557
"6561","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2017-05-31",1695235405
"6562","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2017-05-31",346790740
"6563","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2017-05-31",1370777035
"6564","Total-Receitas","MG","2017-05-31",6180990985
"6565","Total-Despesas","MG","2017-05-31",5221185408
"6566","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2017-06-30",1861215590
"6567","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2017-06-30",339305787
"6568","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2017-06-30",1347977995
"6569","Total-Receitas","MG","2017-06-30",6051845614
"6570","Total-Despesas","MG","2017-06-30",4938080542
"6571","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2017-07-31",2281011544
"6572","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2017-07-31",401951046
"6573","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2017-07-31",1539367310
"6574","Total-Receitas","MG","2017-07-31",5785829408
"6575","Total-Despesas","MG","2017-07-31",4939736275
"6576","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2017-08-31",2157694917
"6577","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2017-08-31",454346733
"6578","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2017-08-31",1853834376
"6579","Total-Receitas","MG","2017-08-31",6515205623
"6580","Total-Despesas","MG","2017-08-31",5209395802
"6581","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2017-09-30",1530191715
"6582","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2017-09-30",282002529
"6583","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2017-09-30",1195054760
"6584","Total-Receitas","MG","2017-09-30",6278071485
"6585","Total-Despesas","MG","2017-09-30",5345330459
"6586","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2017-10-31",1378497878
"6587","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2017-10-31",279130419
"6588","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2017-10-31",1028514319
"6589","Total-Receitas","MG","2017-10-31",6240413053
"6590","Total-Despesas","MG","2017-10-31",5382166770
"6591","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2017-11-30",1572602269
"6592","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2017-11-30",368679273
"6593","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2017-11-30",1096115189
"6594","Total-Receitas","MG","2017-11-30",6181961854
"6595","Total-Despesas","MG","2017-11-30",5052153761
"6596","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MG","2017-12-31",3191483820
"6597","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MG","2017-12-31",550389463
"6598","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MG","2017-12-31",2545825339
"6599","Total-Receitas","MG","2017-12-31",7720858645
"6600","Total-Despesas","MG","2017-12-31",7860817278
"6601","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MS","2008-01-31",165719623
"6602","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MS","2008-01-31",35496949
"6603","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MS","2008-01-31",63756763
"6604","Total-Receitas","MS","2008-01-31",530572242
"6605","Total-Despesas","MS","2008-01-31",472397943
"6606","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MS","2008-02-29",155537869
"6607","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MS","2008-02-29",38816575
"6608","273-BENEFICIOS SOCIAIS - BENEFICIOS SOCIAIS DO EMPREGADOR","MS","2008-02-29",59023710
"6609","Total-Receitas","MS","2008-02-29",526766939
"6610","Total-Despesas","MS","2008-02-29",476651222
"6611","211-REMUNERACAO DE EMPREGADOS - SALARIOS E VENCIMENTOS","MS","2008-03-31",137665757
"6612","212-REMUNERACAO DE EMPREGADOS - CONTRIBUICOES SOCIAIS","MS","2008-03-31",27869425
